dataid,local_15min,house_type,ev_car,solar,grid,total_power_consumption,total_usage
8156,2018-01-01 00:00:00-06:00,Single-Family Home 001 (Master),0.005,-0.006,2.3,2.294,0.28900000000000003
8156,2018-01-01 00:15:00-06:00,Single-Family Home 001 (Master),0.007,-0.006,2.693,2.6870000000000003,0.216
8156,2018-01-01 00:30:00-06:00,Single-Family Home 001 (Master),0.007,-0.006,2.688,2.6820000000000004,0.23800000000000002
8156,2018-01-01 00:45:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.533,2.527,0.20600000000000002
8156,2018-01-01 01:00:00-06:00,Single-Family Home 001 (Master),0.0,0.0,0.0,0.0,0.17
8156,2018-01-01 01:15:00-06:00,Single-Family Home 001 (Master),0.0,0.0,0.0,0.0,0.187
8156,2018-01-01 01:30:00-06:00,Single-Family Home 001 (Master),0.0,0.0,0.0,0.0,0.2
8156,2018-01-01 01:45:00-06:00,Single-Family Home 001 (Master),0.0,0.0,0.0,0.0,0.161
8156,2018-01-01 02:00:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.62,2.6140000000000003,0.191
8156,2018-01-01 02:15:00-06:00,Single-Family Home 001 (Master),0.007,-0.006,2.588,2.5820000000000003,0.29200000000000004
8156,2018-01-01 02:30:00-06:00,Single-Family Home 001 (Master),0.008,-0.007,2.946,2.939,0.8070000000000002
8156,2018-01-01 02:45:00-06:00,Single-Family Home 001 (Master),0.009,-0.007,3.229,3.222,0.9660000000000002
8156,2018-01-01 03:00:00-06:00,Single-Family Home 001 (Master),0.009,-0.007,3.239,3.2319999999999998,1.04
8156,2018-01-01 03:15:00-06:00,Single-Family Home 001 (Master),0.009,-0.007,3.107,3.1,0.9900000000000002
8156,2018-01-01 03:30:00-06:00,Single-Family Home 001 (Master),0.007,-0.007,2.675,2.6679999999999997,0.379
8156,2018-01-01 03:45:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.498,2.4920000000000004,0.28400000000000003
8156,2018-01-01 04:00:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.391,2.3850000000000002,0.24200000000000002
8156,2018-01-01 04:15:00-06:00,Single-Family Home 001 (Master),0.008,-0.006,2.819,2.813,0.619
8156,2018-01-01 04:30:00-06:00,Single-Family Home 001 (Master),0.01,-0.007,3.285,3.278,1.0310000000000001
8156,2018-01-01 04:45:00-06:00,Single-Family Home 001 (Master),0.009,-0.007,3.046,3.0389999999999997,0.9290000000000002
8156,2018-01-01 05:00:00-06:00,Single-Family Home 001 (Master),0.009,-0.007,3.174,3.167,1.0030000000000001
8156,2018-01-01 05:15:00-06:00,Single-Family Home 001 (Master),0.009,-0.007,3.241,3.234,1.0090000000000001
8156,2018-01-01 05:30:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.469,2.463,0.30300000000000005
8156,2018-01-01 05:45:00-06:00,Single-Family Home 001 (Master),0.007,-0.006,2.678,2.672,0.525
8156,2018-01-01 06:00:00-06:00,Single-Family Home 001 (Master),0.007,-0.006,2.689,2.6830000000000003,0.45500000000000007
8156,2018-01-01 06:15:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.307,2.301,0.163
8156,2018-01-01 06:30:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.3,2.294,0.184
8156,2018-01-01 06:45:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.462,2.4560000000000004,0.21900000000000003
8156,2018-01-01 07:00:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.32,2.314,0.155
8156,2018-01-01 07:15:00-06:00,Single-Family Home 001 (Master),0.006,-0.006,2.292,2.286,0.193
8156,2018-01-01 07:30:00-06:00,Single-Family Home 001 (Master),0.006,-0.014,2.473,2.459,0.22100000000000003
8156,2018-01-01 07:45:00-06:00,Single-Family Home 001 (Master),0.006,0.001,2.31,2.311,0.15300000000000002
8156,2018-01-01 08:00:00-06:00,Single-Family Home 001 (Master),0.006,0.108,2.186,2.294,0.197
8156,2018-01-01 08:15:00-06:00,Single-Family Home 001 (Master),0.006,0.173,2.315,2.488,0.23199999999999998
8156,2018-01-01 08:30:00-06:00,Single-Family Home 001 (Master),0.006,0.461,1.954,2.415,0.316
8156,2018-01-01 08:45:00-06:00,Single-Family Home 001 (Master),0.006,0.663,1.695,2.358,0.2
8156,2018-01-01 09:00:00-06:00,Single-Family Home 001 (Master),0.006,1.286,1.113,2.399,0.18900000000000003
8156,2018-01-01 09:15:00-06:00,Single-Family Home 001 (Master),0.006,1.072,1.214,2.286,0.18700000000000003
8156,2018-01-01 09:30:00-06:00,Single-Family Home 001 (Master),0.006,1.459,0.881,2.34,0.23500000000000001
8156,2018-01-01 09:45:00-06:00,Single-Family Home 001 (Master),0.006,1.485,0.876,2.361,0.17300000000000001
8156,2018-01-01 10:00:00-06:00,Single-Family Home 001 (Master),0.006,1.299,1.014,2.3129999999999997,0.20400000000000001
8156,2018-01-01 10:15:00-06:00,Single-Family Home 001 (Master),0.006,1.469,0.874,2.343,0.21100000000000002
8156,2018-01-01 10:30:00-06:00,Single-Family Home 001 (Master),0.006,1.621,0.816,2.437,0.189
8156,2018-01-01 10:45:00-06:00,Single-Family Home 001 (Master),0.007,1.96,0.613,2.573,0.218
8156,2018-01-01 11:00:00-06:00,Single-Family Home 001 (Master),0.007,2.126,0.472,2.598,0.194
8156,2018-01-01 11:15:00-06:00,Single-Family Home 001 (Master),0.006,1.925,0.417,2.342,1.1769999999999996
8156,2018-01-01 11:30:00-06:00,Single-Family Home 001 (Master),0.007,2.072,0.732,2.8040000000000003,1.78
8156,2018-01-01 11:45:00-06:00,Single-Family Home 001 (Master),0.009,1.959,1.414,3.373,3.1929999999999996
8156,2018-01-01 12:00:00-06:00,Single-Family Home 001 (Master),0.007,1.982,0.756,2.738,2.6919999999999997
8156,2018-01-01 12:15:00-06:00,Single-Family Home 001 (Master),0.008,2.013,1.133,3.146,2.739
8156,2018-01-01 12:30:00-06:00,Single-Family Home 001 (Master),0.007,1.902,0.989,2.891,2.7199999999999998
8156,2018-01-01 12:45:00-06:00,Single-Family Home 001 (Master),0.008,1.568,1.559,3.127,3.05
8156,2018-01-01 13:00:00-06:00,Single-Family Home 001 (Master),0.01,1.244,2.139,3.383,3.2379999999999995
8156,2018-01-01 13:15:00-06:00,Single-Family Home 001 (Master),0.007,1.355,1.217,2.572,2.5309999999999997
8156,2018-01-01 13:30:00-06:00,Single-Family Home 001 (Master),0.01,1.33,1.891,3.221,3.1959999999999997
8156,2018-01-01 13:45:00-06:00,Single-Family Home 001 (Master),0.012,1.234,2.566,3.8,3.697
8156,2018-01-01 14:00:00-06:00,Single-Family Home 001 (Master),0.006,1.288,1.088,2.3760000000000003,2.3319999999999994
8156,2018-01-01 14:15:00-06:00,Single-Family Home 001 (Master),0.008,1.12,1.69,2.81,2.777
8156,2018-01-01 14:30:00-06:00,Single-Family Home 001 (Master),0.008,1.01,1.788,2.798,2.6839999999999997
