dataid,local_15min,house_type,ev_car,solar,grid,total_power_consumption,total_usage
27,2019-05-01 00:00:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.997,0.994,0.93
27,2019-05-01 00:15:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.75,0.747,0.683
27,2019-05-01 00:30:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.608,0.605,0.541
27,2019-05-01 00:45:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.057,1.054,0.987
27,2019-05-01 01:00:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.518,0.515,0.45099999999999996
27,2019-05-01 01:15:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.163,1.1600000000000001,1.0949999999999998
27,2019-05-01 01:30:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.591,0.588,0.524
27,2019-05-01 01:45:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.155,1.1520000000000001,1.088
27,2019-05-01 02:00:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.84,0.837,0.7740000000000001
27,2019-05-01 02:15:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.697,0.694,0.633
27,2019-05-01 02:30:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.049,1.046,0.981
27,2019-05-01 02:45:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.514,0.511,0.428
27,2019-05-01 03:00:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.145,1.1420000000000001,1.0169999999999997
27,2019-05-01 03:15:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.534,0.531,0.41100000000000003
27,2019-05-01 03:30:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.047,1.044,0.919
27,2019-05-01 03:45:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.695,0.692,0.57
27,2019-05-01 04:00:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.985,0.982,0.8600000000000001
27,2019-05-01 04:15:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.818,0.815,0.6980000000000001
27,2019-05-01 04:30:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,1.001,0.9979999999999999,0.8799999999999999
27,2019-05-01 04:45:00-05:00,Single-Family Home 001 (Master),0.003,-0.003,0.98,0.977,0.859
27,2019-05-01 05:00:00-05:00,Single-Family Home 001 (Master),0.003,-0.002,1.032,1.03,0.909
27,2019-05-01 05:15:00-05:00,Single-Family Home 001 (Master),0.003,0.0,0.944,0.944,0.8200000000000001
